TIMESTAMP,RECORD,DCS_Model,DCS_Serial,DCS_ABSSpd_Avg,DCS_Direction_Avg,DCS_NorthCur_Avg,DCS_EastCur_Avg,DCS_Heading_Avg,DCS_TiltX_Avg,DCS_TiltY_Avg,DCS_SPstd_Avg,DCS_SigStrength_Avg,DCS_PingCnt_Avg,DCS_AbsTilt_Avg,DCS_MaxTilt_Avg,DCS_StdTilt_Avg
2019-02-02 22:10:00,92977,420,720,7.459656,228.6395,-4.8651,-5.641369,221.8389,6.79035,-1.688308,12.69368,-35.93512,100,6.996931,7.098101,0.05236474
2019-02-02 22:20:00,92978,420,720,10.67858,225.245,-7.312743,-7.587957,218.513,7.723349,0.162831,18.04465,-35.90432,100,7.898855,8.056683,0.07626358
2019-02-02 22:30:00,92979,420,720,10.21341,219.1711,-7.781247,-6.359759,215.3311,9.545161,-1.493743,11.00718,-37.44101,100,9.664206,9.768228,0.05808271
2019-02-02 22:40:00,92980,420,720,13.09384,213.9292,-10.7522,-7.388675,207.7551,9.468047,-1.983711,6.490829,-39.09021,100,9.672245,9.847026,0.1000521
2019-02-02 22:50:00,92981,420,720,10.55404,216.8041,-8.381295,-6.329306,220.9499,8.884145,-1.805695,15.74288,-37.27619,100,9.067877,9.349455,0.1955709
2019-02-02 23:00:00,92982,420,720,19.70885,215.3,-16.19032,-10.74929,228.8712,10.99179,-2.144852,11.61868,-36.32079,100,11.20101,11.75128,0.3303015
2019-02-02 23:10:00,92983,420,720,14.83423,224.1847,-10.63459,-10.34212,216.9976,7.726261,-2.03815,11.46641,-39.05782,100,8.000677,8.400553,0.2314648
2019-02-02 23:20:00,92984,420,720,15.8433,211.7663,-13.4375,-8.240224,196.5557,12.08202,-0.891318,5.939256,-14.06363,31.15244,55.99588,12.43676,6.750571
2019-02-02 23:30:00,92985,420,720,16.69839,214.0815,-13.8439,-9.31132,205.1711,19.29944,-2.111204,9.482151,-38.01585,100,19.42779,20.94511,0.9392349
2019-02-02 23:40:00,92986,420,720,16.86263,215.516,-13.7735,-9.640522,207.9721,11.77833,-1.298983,7.952302,-13.93562,30.42406,60.96708,21.2049,10.44319
2019-02-02 23:50:00,92987,420,720,16.25402,215.1181,-12.78979,-9.282601,202.0941,15.69187,-2.024438,12.56227,-38.28307,100,15.83351,16.85418,0.6984215
2019-02-03 00:00:00,92988,420,720,13.75409,215.8948,-11.05217,-8.074973,210.2598,14.08145,-2.313854,18.81556,-36.4045,100,14.27737,14.87856,0.3796839
2019-02-03 00:10:00,92989,420,720,14.319,204.4237,-12.94194,-5.921373,204.5103,14.68153,-0.07311702,9.889421,-36.11098,100,14.76554,15.32109,0.3594481
2019-02-03 00:20:00,92990,420,720,16.5871,200.6062,-15.51562,-5.838962,204.2432,9.383677,-0.4875074,8.636724,-7.36708,32.47485,58.61031,17.44478,9.145288
2019-02-03 00:30:00,92991,420,720,17.99652,209.4899,-15.68443,-8.714794,208.2204,17.70181,-2.953109,10.94729,-35.71244,100,17.94047,18.59464,0.3808714
2019-02-03 00:40:00,92992,420,720,17.97782,205.5376,-16.22181,-7.743063,207.7966,18.39956,0.05473948,12.78807,-35.21963,100,18.64945,19.06752,0.2949281
2019-02-03 00:50:00,92993,420,720,17.27251,200.1501,-16.2317,-5.828638,206.7705,18.3724,-2.5854,11.37361,-34.16696,100,18.54903,19.13254,0.3936186
2019-02-03 01:00:00,92994,420,720,17.63894,206.5079,-15.78939,-7.801893,207.8058,16.69811,-2.904326,8.215966,-35.92958,100,16.94666,17.17023,0.1681666
2019-02-03 01:10:00,92995,420,720,18.25425,202.2435,-16.898,-6.894688,208.0126,9.614671,-0.9694415,1.109172,-11.97651,32.34254,58.91343,17.35032,8.621933
2019-02-03 01:20:00,92996,420,720,12.56916,204.9193,-11.39018,-5.304236,206.1252,15.891,-2.752417,7.757126,-35.03286,100,16.12178,16.2403,0.06772785
2019-02-03 01:30:00,92997,420,720,17.57519,205.5386,-15.81803,-7.57794,205.2032,17.41773,-2.956323,12.48001,-36.59339,100,17.66011,18.02453,0.2476823
2019-02-03 01:40:00,92998,420,720,14.13558,210.2191,-12.21076,-7.052063,206.2182,16.31121,-2.841283,7.095059,-37.10232,100,16.55228,16.77625,0.1691907
2019-02-03 01:50:00,92999,420,720,15.84167,207.3356,-14.12821,-7.088347,220.1115,14.28037,-2.568972,11.4391,-35.18099,100,14.50696,14.91137,0.2453618
2019-02-03 02:00:00,93000,420,720,18.15505,207.5247,-16.10499,-8.379497,214.5966,15.59576,-3.052325,12.45687,-35.2199,100,15.88484,16.20853,0.1532756
2019-02-03 02:10:00,93001,420,720,16.65824,202.597,-15.37658,-6.345634,213.3635,14.38576,-2.297049,16.94796,-33.87691,100,14.56694,14.73647,0.1116597
2019-02-03 02:20:00,93002,420,720,17.92696,207.7018,-15.86395,-8.31606,211.9097,15.13204,-2.91736,6.619159,-35.45582,100,15.40506,15.77373,0.2958103
2019-02-03 02:30:00,93003,420,720,17.24235,210.144,-14.89456,-8.665845,211.3151,14.35715,-2.754058,13.40007,-35.8443,100,14.61501,14.76349,0.08640526
2019-02-03 02:40:00,93004,420,720,13.22806,206.5192,-11.8386,-5.898973,208.4778,13.36274,-2.380118,8.503873,-35.79717,100,13.57025,13.73227,0.08984978
2019-02-03 02:50:00,93005,420,720,14.1026,204.5634,-12.76392,-5.692327,208.4842,7.280172,-0.5054965,7.066147,-12.79047,31.93512,56.67999,13.63846,7.020341
2019-02-03 03:00:00,93006,420,720,8.363796,206.779,-7.585599,-3.493577,206.0192,11.7024,-1.835697,22.49365,-29.41175,100,11.84492,11.95767,0.07121862
2019-02-03 03:10:00,93007,420,720,5.146433,222.3646,-2.093092,-2.534182,205.8329,11.56462,2.103728,40.44691,-28.78423,100,11.75215,11.9098,0.1185837
2019-02-03 03:20:00,93008,420,720,6.077183,230.6834,-4.327044,-3.491152,208.1875,10.08975,-0.2230401,31.09151,-33.8888,100,10.36918,10.72297,0.1590231
2019-02-03 03:30:00,93009,420,720,6.514927,221.0582,-4.522768,-4.291,213.8839,9.046613,-2.790994,10.5188,-36.79098,100,9.467652,9.686826,0.1188564
2019-02-03 03:40:00,93010,420,720,8.071578,208.848,-6.858523,-3.23318,204.4395,7.923928,-1.956603,12.16374,-36.98427,100,8.167298,8.335411,0.1135016
2019-02-03 03:50:00,93011,420,720,8.26967,240.0379,-4.405777,-6.654786,203.8723,7.991275,-2.322134,10.71118,-38.92115,100,8.320966,8.549031,0.1524073
2019-02-03 04:00:00,93012,420,720,5.964567,210.1056,-5.010788,-3.169284,205.242,8.011021,-1.976476,35.83456,-34.06303,100,8.252664,8.431765,0.1270756
2019-02-03 04:10:00,93013,420,720,16.79367,218.6838,-13.60232,-9.192291,205.7245,8.381273,-2.156935,39.04279,-31.1773,100,8.657948,8.84068,0.1457322
2019-02-03 04:20:00,93014,420,720,6.42708,221.7607,-4.90281,-4.081649,204.9203,7.941255,-1.937368,19.73786,-37.02512,100,8.175089,8.559159,0.2458663
2019-02-03 04:30:00,93015,420,720,8.45089,204.5385,-7.680832,-3.449179,188.2578,5.896779,-1.37254,16.25928,-38.91482,100,6.05523,6.278038,0.1376682
2019-02-03 04:40:00,93016,420,720,6.069734,211.35,-5.178866,-3.162472,208.259,7.151939,-1.902243,17.60342,-38.53425,100,7.399712,7.62925,0.1400683
2019-02-03 04:50:00,93017,420,720,6.552713,224.7587,-4.662671,-4.482185,199.7092,6.365619,-1.554649,15.65469,-40.01025,100,6.552805,6.70289,0.08902591
2019-02-03 05:00:00,93018,420,720,8.587481,240.5353,-4.157976,-7.394856,210.2693,5.37273,-1.598821,10.44682,-40.3009,100,5.611876,5.789666,0.143658
2019-02-03 05:10:00,93019,420,720,8.472762,233.6218,-5.037831,-6.797904,179.4972,6.125537,-1.678029,13.82022,-42.21893,100,6.36485,6.618203,0.1898408
2019-02-03 05:20:00,93020,420,720,5.224723,234.6559,-3.007879,-4.267248,141.1626,3.509287,-1.724754,15.02152,-42.19874,100,3.923749,4.699592,0.5251878
2019-02-03 05:30:00,93021,420,720,1.944849,273.7635,-0.05582649,-1.881906,117.5363,2.560708,-0.02687997,13.05022,-40.85624,100,3.227531,3.494598,0.1870271
2019-02-03 05:40:00,93022,420,720,2.43113,100.1064,-0.0240615,2.165886,91.64293,2.427941,0.06838095,2.241291,-16.89039,30.73986,51.63027,3.2801,1.671049
2019-02-03 05:50:00,93023,420,720,5.400344,30.69421,4.641179,2.75985,166.4766,2.873234,-1.695264,7.74111,-17.04942,28.54804,51.70736,3.511876,1.826392
2019-02-03 06:00:00,93024,420,720,11.42454,55.63361,6.347334,9.481727,186.1619,3.773558,-1,0.523952,9.41027,-43.72731,100,4.072133,4.177411
2019-02-03 06:10:00,93025,420,720,13.37588,57.81229,6.819788,11.1416,35.56949,5.96113,-1,139933.1,10.99471,-41.82141,100,6.10065,6.263656
2019-02-03 06:20:00,93026,420,720,14.75891,77.72018,3.092772,14.40602,59.353,7.628185,-1,271447.3,11.76536,-41.62393,100,7.784449,7.901072
2019-02-03 06:30:00,93027,420,720,14.77914,75.32728,3.718786,14.17397,68.45059,8.731134,-1,416433.7,7.414749,-40.16911,100,8.889408,9.162976
2019-02-03 06:40:00,93028,420,720,16.20002,75.43575,3.998243,15.6729,57.37317,8.114307,-2,119676.5,7.805367,-39.51338,100,8.3853,8.566922
2019-02-03 06:50:00,93029,420,720,18.97229,95.99921,-2.038038,18.67089,83.37743,11.39568,0.385784,4.934754,-36.17532,100,11.85433,12.09571,0.2848384
2019-02-03 07:00:00,93030,420,720,20.13709,99.10284,-3.471987,19.69187,97.05725,11.73335,0.121733,4.803059,-15.64702,32.73195,55.71961,12.47403,6.905604
2019-02-03 07:10:00,93031,420,720,23.82853,117.5419,-11.28192,20.52642,123.3135,15.9031,-0.7043089,7.317472,-13.21428,33.49389,57.3878,16.75373,9.769213
2019-02-03 07:20:00,93032,420,720,25.66849,140.6765,-19.7358,16.19991,139.9099,18.87629,6.530817,8.838317,-33.5333,100,20.0088,21.30755,0.9814352
2019-02-03 07:30:00,93033,420,720,26.7536,133.898,-18.64882,18.77556,132.4533,17.0355,6.075585,12.87558,-33.93588,100,18.15528,19.83747,0.8526648
2019-02-03 07:40:00,93034,420,720,33.01653,141.277,-25.64158,20.77716,145.3872,23.38395,4.664749,13.50298,-32.07921,100,23.82759,25.20995,0.7290444
2019-02-03 07:50:00,93035,420,720,31.4205,130.3355,-20.22076,23.82099,133.6497,17.90561,-0.307353,4.358897,-13.25963,33.7816,58.89878,19.78931,10.88246
2019-02-03 08:00:00,93036,420,720,32.58048,135.7047,-23.31787,22.6867,142.731,20.6046,1.321983,8.07202,-31.72466,100,21.42244,24.42176,1.874695
2019-02-03 08:10:00,93037,420,720,33.57307,134.1006,-23.38025,23.73589,144.9765,21.03811,1.411095,9.751514,-30.62748,100,21.93962,23.24744,0.9614824
2019-02-03 08:20:00,93038,420,720,34.07813,138.1548,-24.63049,22.65245,150.2295,22.64954,-0.726767,2.552361,-10.19038,34.26791,61.70571,24.50138,13.13624
2019-02-03 08:30:00,93039,420,720,28.90946,126.7425,-17.29221,23.16253,133.1928,17.08798,5.593071,9.465624,-31.3223,100,17.98599,18.56968,0.3252509
2019-02-03 08:40:00,93040,420,720,29.66043,123.2056,-16.05781,24.52922,127.3527,15.92342,5.418797,10.73385,-32.0111,100,16.84438,18.1771,0.7283703
2019-02-03 08:50:00,93041,420,720,29.69571,107.6409,-12.07195,23.42859,120.7215,7.052748,2.450259,3.318501,-5.39028,32.97446,56.4367,16.50254,10.63951
2019-02-03 09:00:00,93042,420,720,26.8182,128.5289,-16.59314,20.96434,143.9041,20.28712,-0.2958424,7.988139,-29.13379,100,21.24297,21.98961,0.6477724
2019-02-03 09:10:00,93043,420,720,30.82257,134.7171,-21.25569,21.83354,146.1121,20.6103,6.883666,8.754014,-30.26681,100,21.69639,22.76086,0.6085901
2019-02-03 09:20:00,93044,420,720,28.07381,131.1973,-18.41613,20.42473,143.8904,21.05756,5.563897,12.81293,-30.38339,100,21.7836,22.40235,0.5265812
2019-02-03 09:30:00,93045,420,720,32.61317,133.3072,-22.22266,23.66804,152.6126,23.42292,-0.6763234,5.841042,-29.06614,100,24.46552,25.74552,0.8408334
2019-02-03 09:40:00,93046,420,720,24.56815,123.8579,-13.65504,20.39938,144.8445,20.48944,6.195847,6.763191,-28.99277,100,21.38107,22.70272,0.9404415
2019-02-03 09:50:00,93047,420,720,24.46741,124.2815,-13.80663,20.13925,140.2623,19.09149,5.592907,6.487757,-29.84621,100,19.87268,20.83126,0.626378
2019-02-03 10:00:00,93048,420,720,18.91095,123.9702,-10.37611,15.33371,138.2303,18.44314,-4.933111,6.09612,-13.07969,34.76906,59.38777,20.11428,12.24904
2019-02-03 10:10:00,93049,420,720,15.57315,116.2939,-7.018439,13.60189,136.6569,16.51669,6.283701,8.27951,-30.6008,100,17.64329,18.79254,0.6696356
2019-02-03 10:20:00,93050,420,720,11.34125,73.28684,-3.631053,8.142649,125.7684,14.77919,-5.396545,6.428479,-12.59688,33.81078,60.07158,16.39373,6.643026
2019-02-03 10:30:00,93051,420,720,4.842936,110.7299,-1.281162,4.442935,118.5303,10.07471,4.703773,12.5289,-34.00537,100,11.11498,11.64107,0.3724356
2019-02-03 10:40:00,93052,420,720,6.005901,133.1101,-3.552045,4.50217,136.5464,12.90639,5.305011,12.39995,-35.02158,100,13.94366,14.95389,0.5205795
2019-02-03 10:50:00,93053,420,720,5.020662,58.41014,2.755917,3.846182,129.011,10.29122,0.3781595,3.101628,-13.15175,33.33173,55.89262,11.21504,5.704411
2019-02-03 11:00:00,93054,420,720,4.665818,237.1267,-0.1228915,-2.104651,136.054,9.685089,4.39964,9.366196,-38.67471,100,10.63118,11.6926,0.7493305
2019-02-03 11:10:00,93055,420,720,6.338402,271.1596,0.1062767,-6.32224,142.9601,6.093892,0.4716727,15.06923,-40.86618,100,7.660338,10.48249,1.650509
2019-02-03 11:20:00,93056,420,720,6.236495,258.8204,-1.165069,-6.121064,164.4217,7.885083,0.7975464,37.94022,-32.7241,100,8.526175,10.51132,1.150972
2019-02-03 11:30:00,93057,420,720,7.972243,220.3499,-6.093348,-5.140256,167.3598,9.401682,-3.573621,25.80225,-36.23893,100,10.17181,13.54805,2.154042
2019-02-03 11:40:00,93058,420,720,12.71979,218.2643,-10.01155,-7.836563,191.7505,8.947559,-3.435604,10.74778,-38.20816,100,9.68684,12.16651,1.22366
2019-02-03 11:50:00,93059,420,720,14.93654,222.0046,-10.65653,-9.817517,192.4436,10.72186,-4.209695,12.39931,-39.1106,100,12.09529,14.58138,1.134584
2019-02-03 12:00:00,93060,420,720,19.42147,212.4372,-16.29637,-10.42404,213.6487,19.33304,-6.550581,11.02602,-37.73707,100,20.38588,21.83569,0.8138466
2019-02-03 12:10:00,93061,420,720,19.63337,220.8469,-14.86415,-12.82,213.9773,18.8239,-7.986272,8.039021,-37.54692,100,20.42114,22.13394,1.225509
2019-02-03 12:20:00,93062,420,720,20.26071,230.6629,-12.76024,-15.66326,212.6684,17.6309,-7.599804,13.44108,-38.63772,100,19.19563,22.19521,1.960474
2019-02-03 12:30:00,93063,420,720,19.61928,220.6596,-14.87375,-12.79278,217.7103,10.87949,-4.027137,6.031109,-10.49676,31.88384,60.87792,22.96827,12.35829
2019-02-03 12:40:00,93064,420,720,19.66575,213.8539,-16.35218,-10.90547,218.3586,19.34743,0.2172027,9.034613,-35.91521,100,21.0633,22.89639,1.236579
2019-02-03 12:50:00,93065,420,720,22.17312,211.5506,-18.94087,-11.44831,212.3162,17.96146,-6.243034,11.6947,-36.79681,100,19.02429,21.39942,1.245137
2019-02-03 13:00:00,93066,420,720,20.41539,210.6246,-17.55272,-10.36812,218.2739,16.33456,-8.402396,14.6954,-34.37543,100,18.3848,20.65738,1.892338
2019-02-03 13:10:00,93067,420,720,21.44393,200.5249,-20.01126,-7.310416,222.8509,21.23546,-8.317456,9.928813,-31.88468,100,22.75192,24.81657,1.358778
2019-02-03 13:20:00,93068,420,720,21.41061,209.413,-18.66807,-10.32416,212.509,16.38577,0.1488206,8.894482,-34.89534,100,17.2267,19.30581,1.380215
2019-02-03 13:30:00,93069,420,720,23.06973,217.2629,-18.35922,-13.9682,216.738,16.77996,-7.654824,7.775384,-36.18915,100,18.42767,20.11285,1.150637
2019-02-03 13:40:00,93070,420,720,21.41031,211.4242,-18.27958,-11.10539,217.1263,18.55094,-6.743637,10.98819,-34.46007,100,19.72502,21.30046,0.9314708
2019-02-03 13:50:00,93071,420,720,22.40999,217.6441,-17.74244,-13.68973,212.3042,14.97318,-6.966635,8.216513,-36.38189,100,16.53986,18.82861,1.395093
2019-02-03 14:00:00,93072,420,720,23.13614,210.425,-19.60429,-11.60752,213.8421,17.81948,-7.110281,8.097316,-34.9451,100,19.18134,21.4504,1.419044
2019-02-03 14:10:00,93073,420,720,20.11205,209.6885,-17.45296,-9.924633,215.3425,18.81214,-8.475073,10.60826,-34.50397,100,20.62171,23.26884,1.599035
2019-02-03 14:20:00,93074,420,720,24.37748,216.9184,-19.3286,-14.74747,216.3339,15.99603,-7.208084,12.69651,-33.27594,100,17.52695,19.27002,1.05484
2019-02-03 14:30:00,93075,420,720,21.47226,227.4782,-14.45002,-15.63124,212.3394,14.0686,-7.89482,14.02158,-37.7506,100,16.1969,18.53809,1.382891
2019-02-03 14:40:00,93076,420,720,19.0986,220.6377,-14.59739,-12.12517,212.5057,15.71931,-6.913486,8.495855,-36.31238,100,17.24488,20.24432,1.591202
2019-02-03 14:50:00,93077,420,720,19.93053,210.7945,-17.17953,-9.978358,218.4482,19.84504,-6.189537,12.67007,-33.81708,100,20.76576,21.94278,0.8545101
2019-02-03 15:00:00,93078,420,720,21.49561,205.7852,-19.09276,-9.32433,214.5582,15.85326,-4.219153,10.69356,-34.48934,100,16.40933,17.38351,0.577924
2019-02-03 15:10:00,93079,420,720,19.10674,214.9263,-15.61653,-10.96409,213.8773,12.07919,-7.196521,11.18752,-35.26781,100,14.1605,15.55444,0.9639338
2019-02-03 15:20:00,93080,420,720,21.36569,210.0831,-18.38224,-10.73947,210.5573,6.738757,2.404291,0.1483889,-14.25645,31.90492,56.38219,14.76156,9.271921
2019-02-03 15:30:00,93081,420,720,19.94149,213.5327,-16.59771,-11.00881,219.7014,16.7367,-7.695885,12.64718,-34.21317,100,18.39436,19.45388,0.6924665
2019-02-03 15:40:00,93082,420,720,19.03339,212.502,-15.98941,-10.20464,216.8092,13.5622,-1.2321,8.657322,-34.75006,100,15.10839,16.79076,1.068361
2019-02-03 15:50:00,93083,420,720,17.30783,199.9603,-16.03755,-6.066607,215.7538,9.272862,-2.675756,1.323471,-6.787395,32.60758,59.16935,16.91622,7.801906
2019-02-03 16:00:00,93084,420,720,19.31186,208.5569,-16.69316,-9.228101,215.9127,14.66848,-0.1746213,7.656023,-34.07495,100,16.18305,17.33045,0.7625991
